seconds,x,z,yaw_radians,speed_mps,distance_m,step_distance_m
0.0166667,-4.99994,-3.99979,-2.88156,0.0266667,0.000222305,0.000222305
0.0333333,-4.99977,-3.99914,-2.88156,0.0533333,0.000888869,0.000666563
0.05,-4.99949,-3.99807,-2.88156,0.08,0.00200004,0.00111117
0.0666667,-4.99909,-3.99656,-2.88156,0.106667,0.0035556,0.00155555
0.0833333,-4.99857,-3.99463,-2.88156,0.133333,0.00555564,0.00200004
0.1,-4.99794,-3.99227,-2.88156,0.16,0.00800006,0.00244442
0.116667,-4.9972,-3.98948,-2.88156,0.186667,0.0108891,0.00288903
0.133333,-4.99634,-3.98626,-2.88156,0.213333,0.0142224,0.00333329
0.15,-4.99537,-3.9826,-2.88156,0.24,0.0180001,0.00377767
0.166667,-4.99429,-3.97852,-2.88156,0.266667,0.0222223,0.00422228
0.183333,-4.99309,-3.97401,-2.88156,0.293333,0.0268889,0.00466654
0.2,-4.99177,-3.96908,-2.88156,0.32,0.032,0.00511115
0.216667,-4.99034,-3.96371,-2.88156,0.346667,0.0375556,0.00555553
0.233333,-4.9888,-3.95791,-2.88156,0.373333,0.0435556,0.00600002
0.25,-4.98714,-3.95168,-2.88156,0.4,0.05,0.0064444
0.266667,-4.98537,-3.94502,-2.88156,0.426667,0.0568889,0.00688889
0.283333,-4.98349,-3.93794,-2.88156,0.453333,0.0642222,0.00733327
0.3,-4.98149,-3.93042,-2.88156,0.48,0.072,0.00777788
0.316667,-4.97937,-3.92247,-2.88156,0.506667,0.0802222,0.00822214
0.333333,-4.97715,-3.9141,-2.88156,0.533333,0.0888889,0.00866675
0.35,-4.9748,-3.90529,-2.88156,0.56,0.0980001,0.00911113
0.366667,-4.97235,-3.89606,-2.88156,0.586667,0.107556,0.00955562
0.383333,-4.96978,-3.8864,-2.88156,0.613333,0.117556,0.01
0.4,-4.96709,-3.8763,-2.88156,0.64,0.128,0.0104444
0.416667,-4.96429,-3.86578,-2.88156,0.666667,0.138889,0.0108889
0.433333,-4.96138,-3.85483,-2.88156,0.693333,0.150222,0.0113332
0.45,-4.95835,-3.84345,-2.88156,0.72,0.162,0.0117779
0.466667,-4.95521,-3.83163,-2.88156,0.746666,0.174222,0.0122221
0.483333,-4.95195,-3.81939,-2.88156,0.773333,0.186889,0.0126667
0.5,-4.94858,-3.80672,-2.88156,0.8,0.2,0.0131111
0.516667,-4.94509,-3.79362,-2.88156,0.826666,0.213556,0.0135556
0.533333,-4.94149,-3.78009,-2.88156,0.853333,0.227556,0.014
0.55,-4.93778,-3.76614,-2.88156,0.88,0.242,0.0144445
0.566667,-4.93397,-3.7518,-2.88156,0.9,0.256833,0.0148333
0.583333,-4.93011,-3.73731,-2.88156,0.9,0.271833,0.0149999
0.6,-4.92625,-3.72281,-2.88156,0.9,0.286833,0.0149999
0.616667,-4.9224,-3.70831,-2.88156,0.9,0.301833,0.0149999
0.633333,-4.91854,-3.69382,-2.88156,0.9,0.316833,0.0149999
0.65,-4.91468,-3.67932,-2.88156,0.9,0.331833,0.0149999
0.666667,-4.91083,-3.66483,-2.88156,0.9,0.346833,0.0149999
0.683333,-4.90697,-3.65033,-2.88156,0.9,0.361833,0.0149999
0.7,-4.90311,-3.63584,-2.88156,0.9,0.376833,0.0149999
0.716667,-4.89926,-3.62134,-2.88156,0.9,0.391833,0.0149999
0.733333,-4.8954,-3.60684,-2.88156,0.9,0.406832,0.0149999
